sample_id,batch_500_usd,batch_1681_usd,batch_5000_usd
290,26.6074,7.9816,2.6605
291,47.6103,14.2820,4.7605
292,8.9395,2.6817,0.8939
293,29.0905,8.7265,2.9087
294,32.5292,9.7580,3.2526
295,75.5756,22.6710,7.5567
296,12.0013,3.6001,1.2000
297,48.5830,14.5738,4.8578
298,48.2092,14.4617,4.8204
299,11.6556,3.4964,1.1654
300,30.0505,9.0145,3.0047
301,10.4179,3.1251,1.0417
302,16.9153,5.0742,1.6914
303,12.0445,3.6131,1.2043
304,93.4513,28.0333,9.3441
305,27.7863,8.3353,2.7783
306,39.6650,11.8986,3.9661
307,53.5039,16.0500,5.3498
308,37.1078,11.1315,3.7104
309,18.2149,5.4641,1.8213
310,15.9363,4.7805,1.5935
311,24.5481,7.3639,2.4545
312,20.0193,6.0054,2.0017
313,35.7772,10.7324,3.5773
